iata,airport_name,city,state,country,lat,lon
HSV,Huntsville International Airport,Huntsville,AL,US,34.636244,-86.774378
LEX,Blue Grass Airport,Lexington,KY,US,38.035066,-84.606738
DAY,James M. Cox Dayton International Airport,Dayton,OH,US,39.902401,-84.219398
CAK,Akron Canton Regional Airport,Akron,OH,US,40.91609954833984,-81.44219970703125
ERI,Erie International Tom Ridge Field,Erie,PA,US,42.083127,-80.173867
ABE,Lehigh Valley International Airport,Allentown/Bethlehem,PA,US,40.651773,-75.442797
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,US,41.337064,-75.724232
BTV,Patrick Leahy Burlington International Airport,Burlington,VT,US,44.471901,-73.153297
ISP,Long Island MacArthur Airport,Islip,NY,US,40.796324,-73.101703
HPN,Westchester County Airport,White Plains,NY,US,41.06700134277344,-73.70760345458984
SWF,New York Stewart International Airport,Newburgh,NY,US,41.50421,-74.108901
ECP,Northwest Florida Beaches International Airport,Panama City Beach,FL,US,30.357106,-85.795414
SRQ,Sarasota Bradenton International Airport,Sarasota/Bradenton,FL,US,27.394631,-82.554359
PIE,St. Petersburg Clearwater International Airport,Pinellas Park,FL,US,27.9102,-82.687401
GSO,Piedmont Triad International Airport,Greensboro,NC,US,36.09937,-79.937262
ILM,Wilmington International Airport,Wilmington,NC,US,34.272345,-77.905117
CAE,Columbia Metropolitan Airport,Columbia,SC,US,33.938172,-81.123022
ROA,Roanoke–Blacksburg Regional Airport,Roanoke,VA,US,37.3255,-79.975403
CHO,Charlottesville Albemarle Airport,Charlottesville,VA,US,38.13859939575195,-78.4529037475586
FNT,Bishop International Airport,Flint,MI,US,42.969294,-83.743355
LAN,Capital Region International Airport,Lansing,MI,US,42.777582,-84.585721
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,US,42.232105,-85.549637
TVC,Cherry Capital Airport,Traverse City,MI,US,44.741402,-85.582199
BZN,Bozeman Yellowstone International Airport,Bozeman,MT,US,45.778853,-111.153711
JAC,Jackson Hole Airport,Jackson,WY,US,43.6073,-110.737999
FCA,Glacier Park International Airport,Kalispell,MT,US,48.310501,-114.255997
MSO,Missoula Montana Airport,Missoula,MT,US,46.915816,-114.091107
GJT,Grand Junction Regional Airport,Grand Junction,CO,US,39.126663,-108.529387
EGE,Eagle County Regional Airport,Eagle,CO,US,39.64260101,-106.9179993
ASE,Aspen-Pitkin County Airport (Sardy Field),Aspen,CO,US,39.223202,-106.869003
HDN,Yampa Valley Airport,Hayden,CO,US,40.481201,-107.218002
SBA,Santa Barbara Municipal Airport,Santa Barbara,CA,US,34.426201,-119.839996
PSP,Palm Springs International Airport,Palm Springs,CA,US,33.8297,-116.507004
BFL,Meadows Field,Bakersfield,CA,US,35.433601,-119.056999
SBP,San Luis County Regional Airport,San Luis Obispo,CA,US,35.2368011475,-120.641998291
MRY,Monterey Regional Airport,Monterey,CA,US,36.586777,-121.844183
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,CA,US,40.978101,-124.109
EUG,Eugene Airport,Eugene,OR,US,44.124599,-123.211998
RDM,Roberts Field,Redmond,OR,US,44.254101,-121.150002
PSC,Tri Cities Airport,Pasco,WA,US,46.264702,-119.119003
EAT,Pangborn Memorial Airport,Wenatchee,WA,US,47.398899,-120.207001
